District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Arlington Elementary School District,2017,Maricopa,10,T-9,18,4 and 13,Small,Rural,242,1,54.1%,52.5%,10.3%,13.4%,5.6%,8.6%,6.1%,1.9%,"$1,076","$1,231",Low,69,54,Low,$8.22,$6.81,Very High,170,153,High,Very High,$4.13,$3.41,Very High,Very High,$1.96,$2.60,Very Low,$893,"$1,363",Very Low,Very Low,"$5,650","$4,993","$1,076","$1,231","$1,399","$1,125",$584,$549,$894,$575,$643,$606,$196,$397,"$10,442","$9,476",$311,$194,$221,$329,$219,$167,$575,$91,"$1,326",$781,"$11,768","$10,257",47%,36%,29%,37%,43%,61%,94%,94%,N/A,N/A,24%,26%,9%,14%,20.1,14.6,"$59,751","$49,194","$7,275","$5,175",14.8,14.0,0%,7%,"$1,545","$2,395",$522,"$4,806","$9,473","$4,236","$11,540","$11,437","$6,747","$6,815",$250,$269,$47,$50,"$1,637","$1,792",$121,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,"$2,066",6 of 12,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"2.5%, Decreasing",Moderate,More than 3 years,Low,Compliant,Low
Ash Creek Elementary School District,2017,Cochise,11,T-11,20,14,Very small,Rural,17,1,33.9%,50.5%,27.7%,16.7%,5.6%,6.1%,4.9%,5.1%,"$8,511","$3,137",No Measure,9,32,No Measure,$4.17,$6.96,No Measure,"1,228",412,No Measure,No Measure,$8.60,$5.79,No Measure,No Measure,$1.67,$1.87,No Measure,"$2,707","$1,459",No Measure,No Measure,"$10,398","$8,613","$8,511","$3,137","$5,125","$2,644","$1,716","$1,000","$1,862",$961,"$1,491",$601,"$1,576",$498,"$30,679","$17,454","$1,723","$1,161",$906,$735,$0,$31,$0,$90,"$2,629","$2,017","$33,308","$19,471",40%,25%,50%,26%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,95%,93%,N/A,N/A,40%,44%,29%,15%,8.7,11.2,N/A,"$48,132",N/A,"$4,375",N/A,11.5,N/A,6%,"$3,570","$2,908","$16,955","$5,692","$20,860","$13,343","$41,385","$21,943","$20,063","$9,932",$520,$315,$63,$57,"$4,647","$2,701",$164,$184,$0,0 of 54,"$7,671",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"38.2%, Increasing",Low,More than 3 years,Low,Not assessed,No Measure
Ash Fork Joint Unified School District,2017,Yavapai,6,T-10,5,1,Small,Rural,235,1,49.3%,48.7%,21.0%,11.0%,7.0%,4.9%,4.0%,2.8%,"$2,274","$1,784",Very High,59,44,Very High,$5.27,$4.85,High,226,348,Very Low,Comparable,$4.44,$3.70,Very High,Very High,$1.68,$1.93,Low,$893,"$1,267",Very Low,Very Low,"$5,335","$5,470","$2,274","$1,784","$1,193","$1,587",$750,$534,$532,$571,$433,$642,$302,$423,"$10,819","$11,011",$77,$437,$145,$479,$52,$179,$51,$45,$325,"$1,140","$11,144","$12,151",47%,31%,45%,31%,38%,44%,95%,93%,86%,85%,27%,24%,17%,13%,19.6,17.0,"$47,673","$44,553","$3,164","$5,512",8.8,12.8,18%,16%,"$1,255","$2,411","$2,460","$3,824","$9,501","$7,054","$13,216","$13,289","$7,230","$7,159",$278,$285,$53,$57,"$1,258","$1,876",$43,$246,$0,0 of 20,"$6,981",4 of 20,$0,5 of 20,$0,15 of 20,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"65.1%, Increasing",Low,More than 3 years,Low,Compliant,Low
Avondale Elementary School District,2017,Maricopa,8,T-2,13,"4, 13, and 19",Medium-large,Suburb,"5,301",8,50.9%,51.3%,11.8%,11.8%,6.8%,4.3%,7.1%,7.3%,$914,$974,Low,60,68,Low,$6.38,$6.31,Comparable,143,147,Comparable,Comparable,$2.52,$2.75,Low,Low,$6.34,$5.31,Very High,"$1,321","$1,178",High,Very High,"$3,942","$4,164",$914,$974,$915,$909,$524,$640,$330,$327,$547,$626,$570,$559,"$7,742","$8,199",$747,$924,$723,$582,$253,$255,$144,$146,"$1,867","$1,907","$9,609","$10,106",38%,32%,36%,32%,53%,46%,94%,94%,N/A,N/A,22%,25%,12%,12%,18.9,19.1,"$42,934","$43,084","$2,949","$4,885",8.1,8.3,26%,30%,"$1,362","$1,848","$3,995","$3,857","$4,648","$4,627","$10,005","$10,332","$5,073","$5,145",$236,$236,$43,$43,"$1,432","$1,915",$65,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$1,895",19 of 19,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"4.7%, Varying",Low,More than 3 years,Low,Compliant,Low
Baboquivari Unified School District,2017,Pima,5,T-10,7,4,Medium,Rural,906,4,42.7%,50.2%,15.0%,13.5%,4.6%,7.6%,8.8%,7.8%,"$2,560","$1,102",Very High,41,53,Very High,$6.58,$5.20,Very High,348,263,Very High,Very High,$3.44,$3.54,Comparable,Comparable,$2.15,$1.93,High,"$1,037","$1,267",Very Low,Comparable,"$7,276","$4,541","$2,560","$1,102","$2,291","$1,289",$785,$396,"$1,292",$488,"$1,495",$632,"$1,333",$346,"$17,032","$8,794",$13,$764,$814,$536,$0,$221,$46,$78,$873,"$1,599","$17,905","$10,393",19%,18%,14%,17%,17%,25%,94%,92%,76%,79%,45%,43%,NR,12%,12.2,15.3,"$49,951","$48,972","$4,586","$4,489",8.1,12.6,10%,16%,"$12,566","$3,999","$8,695","$4,066","$1,266","$4,210","$22,527","$12,275","$7,588","$5,929",$272,$243,$51,$49,"$4,212","$1,751",$47,$138,$0,1 of 29,$0,0 of 29,"$8,580",14 of 29,$0,20 of 29,Low,Moderate decrease,Moderate,Isolated,Moderate,No election held,No Measure,Impact Aid Fund reserve,Low,Impact Aid Fund reserve,Low,Compliant,Low
Bagdad Unified School District,2017,Yavapai,6,T-7,4,1,Small,Rural,377,2,56.5%,48.7%,19.6%,11.3%,3.4%,2.8%,5.4%,1.0%,"$2,519","$1,784",Very High,31,44,Very High,$5.55,$4.85,High,261,348,Very Low,Comparable,$5.04,$3.70,Very High,Very High,$6.49,$2.98,Very High,"$3,233",$921,Very High,Very High,"$7,249","$5,470","$2,519","$1,784","$1,450","$1,587",$436,$534,$352,$571,$689,$642,$129,$423,"$12,824","$11,011",$613,$437,$183,$479,$2,$179,$6,$45,$804,"$1,140","$13,628","$12,151",31%,31%,33%,31%,49%,52%,94%,94%,95%,88%,11%,15%,15%,13%,12.6,15.7,"$51,369","$45,360","$5,589","$5,787",9.9,10.4,14%,17%,$448,"$2,411",$794,"$3,824","$12,988","$7,054","$14,230","$13,289","$7,096","$7,159",$315,$285,$64,$57,$467,"$1,876","$3,095",$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,626",15 of 20,Low,Small school adjustment,Low,No overspending,Low,Voter-approved,Low,"10.7%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Balsz Elementary School District,2017,Maricopa,8,T-3,15,24 and 27,Medium-large,City,"2,315",5,49.1%,51.3%,12.5%,10.4%,8.7%,3.8%,6.4%,9.1%,"$1,192",$974,Very High,62,68,Very High,$5.17,$6.31,Very Low,193,147,Very High,Low,$2.72,$2.75,Comparable,Comparable,$5.99,$4.28,Very High,"$1,418","$1,207",Very High,Very High,"$4,696","$4,164","$1,192",$974,$997,$909,$836,$640,$362,$327,$614,$626,$870,$559,"$9,567","$8,199",$447,$924,$644,$582,$216,$255,$74,$146,"$1,381","$1,907","$10,948","$10,106",25%,25%,21%,22%,33%,37%,94%,94%,N/A,N/A,41%,44%,12%,10%,17.7,19.1,"$44,954","$52,696","$4,807","$4,542",8.9,10.3,31%,22%,"$2,692","$1,848","$3,487","$3,857","$5,819","$4,627","$11,998","$10,332","$5,481","$5,145",$248,$236,$44,$43,"$2,838","$1,915",$97,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$2,464",19 of 19,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"7.9%, Increasing",Low,More than 3 years,Low,Compliant,Low
Beaver Creek Elementary School District,2017,Yavapai,10,T-7,17,1 and 6,Small,Rural,277,1,49.4%,52.5%,9.9%,14.0%,5.7%,4.5%,10.6%,5.9%,$967,"$1,231",Very Low,44,54,Very Low,$5.09,$6.81,Very Low,270,153,Very High,Low,$4.10,$3.41,Very High,Very High,$2.43,$2.98,Very Low,$718,$921,Very Low,Very Low,"$4,828","$4,993",$967,"$1,231","$1,375","$1,125",$561,$549,$438,$575,"$1,034",$606,$575,$397,"$9,778","$9,476",$59,$194,$274,$329,$530,$167,$59,$91,$922,$781,"$10,700","$10,257",14%,37%,21%,38%,60%,62%,94%,94%,N/A,N/A,18%,19%,17%,14%,16.9,13.3,"$44,875","$44,961","$6,678","$4,257",11.4,12.6,7%,11%,"$1,963","$2,395","$5,001","$4,806","$4,566","$4,236","$11,530","$11,437","$6,884","$6,815",$283,$269,$52,$50,"$1,984","$1,792",$273,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,"$1,127",6 of 12,Moderate,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"4.4%, Varying",Low,Less than 1 year,High,Compliant,Low
Benson Unified School District,2017,Cochise,5,T-7,6,14,Medium,Town,"1,233",4,50.8%,50.2%,11.9%,12.7%,3.8%,6.9%,11.2%,2.7%,$958,"$1,102",Low,47,53,Low,$6.52,$5.20,Very High,157,263,Very Low,High,$3.15,$3.54,Low,Low,$3.73,$2.98,Very High,"$1,303",$921,Very High,Very High,"$4,100","$4,541",$958,"$1,102","$1,027","$1,289",$305,$396,$553,$488,$908,$632,$221,$346,"$8,072","$8,794",$45,$764,$339,$536,$189,$221,$111,$78,$684,"$1,599","$8,756","$10,393",50%,34%,44%,31%,64%,45%,94%,94%,90%,84%,35%,32%,15%,14%,19.6,16.4,"$42,059","$44,227","$6,234","$5,336",11.3,12.6,22%,17%,$855,"$3,999","$3,796","$4,066","$4,547","$4,210","$9,198","$12,275","$5,426","$5,929",$234,$243,$49,$49,$962,"$1,751",$161,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,"$1,609",20 of 29,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"3.6%, Varying",Low,More than 3 years,Low,Compliant,Low
Bicentennial Union High School District,2017,La Paz,11,T-11,10,5,Very small,Rural,122,1,49.1%,50.5%,13.3%,13.9%,5.5%,11.6%,5.0%,1.6%,"$1,849","$3,137",No Measure,41,32,No Measure,$4.21,$6.96,No Measure,458,412,No Measure,No Measure,$3.64,$5.79,No Measure,No Measure,$1.36,$1.87,No Measure,"$1,612","$1,459",No Measure,No Measure,"$6,823","$8,613","$1,849","$3,137","$1,926","$2,644",$766,"$1,000","$1,618",$961,$697,$601,$228,$498,"$13,907","$17,454",$300,"$1,161",$500,$735,$29,$31,$0,$90,$829,"$2,017","$14,736","$19,471",13%,28%,14%,23%,19%,26%,94%,94%,91%,91%,14%,14%,18%,14%,11.1,13.1,"$38,064","$40,448","$4,075","$5,163",8.3,9.6,17%,19%,"$2,033","$2,908","$1,460","$5,692","$13,270","$13,343","$16,763","$21,943","$9,813","$9,932",$285,$315,$56,$57,"$2,384","$2,701",$42,$184,$0,0 of 54,$411,44 of 54,$0,5 of 54,$10,7 of 54,Low,Small school adjustment,Low,Isolated,Moderate,No election held,No Measure,"6.8%, Increasing",Low,More than 3 years,Low,Compliant,Low
Bisbee Unified School District,2017,Cochise,5,T-8,7,14,Medium,Town,709,3,50.5%,50.2%,12.4%,16.9%,4.4%,5.1%,5.9%,4.8%,"$1,295","$1,102",Very High,43,53,Very High,$5.98,$5.20,High,295,263,High,High,$4.52,$3.54,Very High,Very High,$3.31,$2.95,High,$888,"$1,037",Low,Comparable,"$5,280","$4,541","$1,295","$1,102","$1,766","$1,289",$456,$396,$529,$488,$617,$632,$506,$346,"$10,449","$8,794",$430,$764,$567,$536,$0,$221,$11,$78,"$1,008","$1,599","$11,457","$10,393",24%,18%,23%,17%,38%,25%,96%,92%,84%,79%,41%,43%,14%,12%,15.6,15.3,"$48,600","$48,972","$8,080","$4,489",11.4,12.6,16%,16%,"$1,202","$3,999","$3,497","$4,066","$5,319","$4,210","$10,018","$12,275","$5,827","$5,929",$232,$243,$56,$49,"$1,369","$1,751",$77,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,$565,20 of 29,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"11.4%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Blue Elementary School District,2017,Greenlee,11,N/A,4,14,Very small,Rural,11,1,78.7%,50.5%,0.1%,16.5%,0.0%,4.7%,0.0%,0.0%,$5,"$3,137",No Measure,N/A,32,No Measure,$13.99,$6.96,No Measure,144,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,N/A,N/A,No Measure,N/A,N/A,No Measure,No Measure,"$9,607","$8,613",$5,"$3,137","$2,014","$2,644",$0,"$1,000",$575,$961,$0,$601,$0,$498,"$12,201","$17,454",$611,"$1,161",$0,$735,$0,$31,$0,$90,$611,"$2,017","$12,812","$19,471",Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,96%,94%,N/A,88%,0%,15%,0%,13%,11.1,15.7,N/A,"$45,360",N/A,"$5,787",N/A,10.4,N/A,17%,"$2,555","$2,908",$957,"$5,692","$11,512","$13,343","$15,024","$21,943","$8,421","$9,932",$338,$315,$71,$57,"$2,580","$2,701",$37,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$0,7 of 54,Moderate,Large decrease,High,No overspending,Low,No election held,No Measure,"21.8%, Varying",Low,1 to 3 years,Moderate,Not assessed,No Measure
Blue Ridge Unified School District,2017,Navajo,4,T-8,6,7,Medium-large,Town,"2,094",4,51.9%,52.0%,11.9%,13.6%,4.1%,5.5%,7.0%,6.0%,$943,$844,High,117,69,High,$4.26,$5.36,Very Low,254,190,Very High,Low,$3.14,$3.00,Comparable,Comparable,$2.65,$2.95,Low,"$1,025","$1,037",Comparable,Low,"$4,134","$4,032",$943,$844,"$1,082",$987,$326,$409,$436,$414,$559,$607,$480,$481,"$7,960","$7,774","$2,177",$346,"$1,725",$390,$290,$164,$44,$77,"$4,236",$977,"$12,196","$8,751",31%,34%,29%,31%,45%,45%,92%,94%,82%,84%,29%,32%,10%,14%,20.0,16.4,"$50,026","$44,227","$7,041","$5,336",14.3,12.6,18%,17%,$745,"$2,260","$2,150","$4,086","$6,327","$3,104","$9,222","$9,450","$5,115","$5,373",$220,$233,$47,$46,$551,"$1,374",$73,$56,$0,1 of 18,$0,0 of 18,$295,7 of 18,"$1,299",14 of 18,Low,Increase,Low,Capital,High,Voter-approved,Low,"3.4%, Varying",Low,Impact Aid Fund reserve,Low,Marginally compliant,Moderate
Bonita Elementary School District,2017,Graham,11,T-11,16,14,Very small,Rural,101,1,61.7%,50.5%,19.0%,8.7%,5.3%,4.4%,0.8%,0.1%,"$2,887","$3,137",No Measure,34,32,No Measure,$4.88,$6.96,No Measure,269,412,No Measure,No Measure,$9.15,$5.79,No Measure,No Measure,$1.20,$1.87,No Measure,$723,"$1,459",No Measure,No Measure,"$9,349","$8,613","$2,887","$3,137","$1,312","$2,644",$810,"$1,000",$672,$961,$113,$601,$17,$498,"$15,160","$17,454","$1,323","$1,161",$238,$735,$8,$31,$0,$90,"$1,569","$2,017","$16,729","$19,471",44%,36%,47%,41%,66%,66%,94%,95%,N/A,N/A,15%,11%,16%,15%,9.2,12.0,"$52,674","$50,741","$4,166","$5,239",28.9,19.8,0%,8%,$384,"$2,908","$6,848","$5,692","$4,979","$13,343","$12,211","$21,943","$8,970","$9,932",$293,$315,$59,$57,"$1,701","$2,701",$76,$184,$0,0 of 54,"$4,879",44 of 54,$0,5 of 54,$0,7 of 54,Moderate,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"Frozen taxes, Unfunded",High,1 to 3 years,Moderate,Compliant,Low
Bouse Elementary School District,2017,La Paz,11,T-11,17,5,Very small,Rural,25,1,34.9%,50.5%,21.5%,30.7%,9.2%,2.2%,0.0%,1.5%,"$5,280","$3,137",No Measure,12,32,No Measure,$14.32,$6.96,No Measure,527,412,No Measure,No Measure,$9.35,$5.79,No Measure,No Measure,$1.59,$1.87,No Measure,NR,"$1,459",NR,No Measure,"$8,578","$8,613","$5,280","$3,137","$7,540","$2,644","$2,272","$1,000",$545,$961,$6,$601,$361,$498,"$24,582","$17,454",$4,"$1,161","$1,393",$735,$0,$31,$0,$90,"$1,397","$2,017","$25,979","$19,471",6%,37%,28%,38%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,93%,94%,N/A,N/A,22%,19%,19%,14%,8.4,13.3,"$31,384","$44,961","$1,770","$4,257",11.7,12.6,0%,11%,"$2,305","$2,908","$2,231","$5,692","$26,845","$13,343","$31,381","$21,943","$7,974","$9,932",$299,$315,$61,$57,"$3,499","$2,701",$48,$184,$0,0 of 54,"$14,293",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"58.7%, Increasing",Low,1 to 3 years,Moderate,Not assessed,No Measure
Bowie Unified School District,2017,Cochise,11,T-11,4,14,Very small,Rural,57,2,45.4%,50.5%,24.4%,19.1%,4.1%,3.3%,0.0%,3.7%,"$5,330","$3,137",No Measure,19,32,No Measure,$5.17,$6.96,No Measure,804,412,No Measure,No Measure,$4.81,$5.79,No Measure,No Measure,$0.84,$1.87,No Measure,"$1,624","$1,459",No Measure,No Measure,"$9,899","$8,613","$5,330","$3,137","$4,158","$2,644",$903,"$1,000",$714,$961,$0,$601,$813,$498,"$21,817","$17,454",$687,"$1,161","$2,554",$735,$41,$31,$306,$90,"$3,588","$2,017","$25,405","$19,471",13%,31%,3%,31%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,89%,94%,N/A,88%,20%,15%,21%,13%,11.4,15.7,"$38,250","$45,360","$5,015","$5,787",12.5,10.4,25%,17%,"$1,551","$2,908","$3,327","$5,692","$22,069","$13,343","$26,947","$21,943","$8,493","$9,932",$284,$315,$44,$57,"$2,169","$2,701",$976,$184,$0,0 of 54,"$11,727",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"10.1%, Increasing",Low,More than 3 years,Low,Noncompliant,High
Buckeye Elementary School District,2017,Maricopa,8,T-2,13,4 and 13,Medium-large,Suburb,"4,665",6,51.4%,51.3%,11.7%,11.6%,7.0%,3.8%,8.5%,6.0%,$864,$974,Low,79,68,Low,$7.56,$6.31,Very High,113,147,Very Low,High,$2.42,$2.75,Low,Low,$3.84,$5.31,Very Low,$847,"$1,178",Very Low,Very Low,"$3,793","$4,164",$864,$974,$851,$909,$517,$640,$282,$327,$625,$626,$443,$559,"$7,375","$8,199","$1,383",$924,$387,$582,$148,$255,$156,$146,"$2,074","$1,907","$9,449","$10,106",28%,32%,28%,32%,45%,46%,94%,94%,N/A,N/A,21%,25%,13%,12%,18.5,19.1,"$37,778","$43,084","$5,477","$4,885",7.5,8.3,32%,30%,"$1,150","$1,848","$4,608","$3,857","$2,649","$4,627","$8,407","$10,332","$5,208","$5,145",$241,$236,$44,$43,"$1,214","$1,915",$44,$54,$345,4 of 19,$0,0 of 19,$0,0 of 19,$816,19 of 19,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.9%, Increasing",Low,More than 3 years,Low,Compliant,Low
Buckeye Union High School District,2017,Maricopa,3,T-5,8,4 and 13,Medium-large,Suburb,"4,050",3,54.2%,53.1%,8.5%,14.2%,4.8%,7.6%,6.0%,4.7%,$737,$837,Low,74,69,Low,$6.33,$6.01,High,194,157,Very High,Very High,$3.34,$3.04,High,High,$3.12,$4.15,Very Low,"$1,517","$1,809",Very Low,Very Low,"$4,696","$3,991",$737,$837,"$1,226",$965,$418,$324,$661,$433,$520,$640,$402,$338,"$8,660","$7,528","$1,829",$890,$385,$406,$600,$258,$68,$146,"$2,882","$1,700","$11,542","$9,228",40%,33%,23%,27%,33%,34%,89%,93%,91%,87%,15%,16%,12%,11%,20.9,21.7,"$53,011","$49,138","$8,995","$8,138",11.0,10.3,17%,22%,$842,$781,"$2,873","$3,243","$5,879","$5,097","$9,594","$9,121","$5,746","$5,442",$245,$240,$48,$47,$830,$866,$118,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,"$1,917",13 of 15,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"2%, Decreasing",High,More than 3 years,Low,Marginally compliant,Moderate
Bullhead City Elementary School District,2017,Mohave,9,T-6,19,5,Medium-large,Town,"2,626",6,54.8%,50.0%,13.9%,9.6%,7.8%,4.9%,3.6%,5.4%,"$1,094","$1,060",Comparable,70,58,Comparable,$5.24,$6.71,Very Low,144,153,Low,Very Low,$2.91,$3.04,Comparable,Comparable,$4.96,$3.94,Very High,$369,$728,Very Low,Low,"$4,310","$4,115","$1,094","$1,060",$753,"$1,004",$609,$571,$386,$427,$283,$528,$425,$463,"$7,860","$8,168",$79,$917,$92,$314,$5,$77,$48,$148,$224,"$1,456","$8,084","$9,624",34%,35%,29%,36%,60%,52%,94%,93%,N/A,N/A,34%,34%,12%,15%,19.2,14.8,"$51,326","$46,717","$5,840","$4,152",9.8,11.3,18%,16%,"$1,671","$1,753","$3,538","$4,842","$2,824","$2,654","$8,033","$9,249","$5,333","$5,748",$241,$239,$44,$44,"$1,910","$2,064",$47,$69,$0,0 of 10,$0,0 of 10,$0,3 of 10,$0,8 of 10,Moderate,Moderate decrease,Moderate,Isolated,Moderate,No election held,No Measure,"4.2%, Varying",Low,1 to 3 years,Moderate,Marginally compliant,Moderate
Camp Verde Unified School District,2017,Yavapai,5,T-8,4,1 and 6,Medium,Rural,"1,528",3,56.7%,50.2%,8.7%,12.3%,4.2%,5.7%,8.4%,4.0%,$682,"$1,102",Very Low,67,53,Very Low,$6.30,$5.20,Very High,153,263,Very Low,High,$3.01,$3.54,Low,Low,$2.80,$2.95,Low,$912,"$1,037",Low,Low,"$4,456","$4,541",$682,"$1,102",$963,"$1,289",$331,$396,$451,$488,$663,$632,$315,$346,"$7,861","$8,794",$200,$764,$326,$536,$74,$221,$12,$78,$612,"$1,599","$8,473","$10,393",20%,31%,22%,31%,40%,52%,92%,94%,92%,88%,20%,15%,13%,13%,17.5,15.7,"$47,847","$45,360","$6,490","$5,787",10.5,10.4,3%,17%,"$1,265","$3,999","$3,610","$4,066","$3,084","$4,210","$7,959","$12,275","$5,239","$5,929",$226,$243,$46,$49,"$1,267","$1,751",$63,$138,$0,1 of 29,$0,0 of 29,$171,14 of 29,$0,20 of 29,Low,Increase,Low,No overspending,Low,No election held,No Measure,"4.1%, Varying",Low,Impact Aid Fund reserve,Low,Compliant,Low
Canon Elementary School District,2017,Yavapai,11,T-11,19,1,Very small,Rural,124,1,53.4%,50.5%,16.3%,12.9%,7.3%,4.7%,4.3%,1.1%,"$1,965","$3,137",No Measure,32,32,No Measure,$5.03,$6.96,No Measure,309,412,No Measure,No Measure,$4.41,$5.79,No Measure,No Measure,$2.16,$1.87,No Measure,$725,"$1,459",No Measure,No Measure,"$6,424","$8,613","$1,965","$3,137","$1,554","$2,644",$876,"$1,000",$575,$961,$515,$601,$131,$498,"$12,040","$17,454",$350,"$1,161","$1,359",$735,$0,$31,$0,$90,"$1,709","$2,017","$13,749","$19,471",24%,35%,27%,36%,50%,52%,97%,93%,N/A,N/A,31%,34%,22%,15%,11.2,14.8,"$46,335","$46,717","$3,784","$4,152",16.3,11.3,0%,16%,"$2,423","$2,908","$5,087","$5,692","$6,040","$13,343","$13,550","$21,943","$7,939","$9,932",$309,$315,$43,$57,"$2,498","$2,701",$163,$184,$0,0 of 54,$647,44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"6.8%, Increasing",Low,1 to 3 years,Moderate,Marginally compliant,Moderate
